paper_id	0	1	2	3	4	5	6	7	8	decision
P_48ZG7ySK	5.0	3.0	6.0	5.0						Unknown
3WYtm7UzsR	3.0	3.0	3.0							Unknown
_GcWoi0SQm	3.0	5.0	5.0	5.0						Unknown
o3Q4m8jg4BR	8.0	5.0	8.0	5.0						Unknown
X5ZMzRYqUjB	6.0	6.0	5.0							Unknown
VPX0ln_YoG	3.0	3.0	3.0							Unknown
oJpVVGXu9i	6.0	3.0	5.0	8.0						Unknown
JIptuwnqwn	3.0	3.0	1.0	3.0						Unknown
BDjGGZk9yz	3.0	1.0	3.0							Unknown
loc3CUXeuzH	3.0	5.0	3.0							Unknown
kL67fyKb6A	3.0	3.0	3.0	3.0						Unknown
WVZQa2QYJN	5.0	6.0	5.0							Unknown
jkMT2AtccX	6.0	6.0	6.0	3.0						Unknown
F5Cj26wfiu	1.0	5.0	6.0	3.0						Unknown
mmFtinp4wQ_	6.0	3.0	3.0	3.0						Unknown
5WOIluv9Xop	3.0	3.0	3.0	1.0						Unknown
-4HJSA3Y2vg	5.0	3.0	5.0	3.0						Unknown
eDLwjKmtYFt	8.0	3.0	6.0							Unknown
O_er9uNktN	6.0	3.0	8.0	5.0						Unknown
cUX2psP06OL	1.0	1.0	1.0							Unknown
-M0TNnyWFT5	6.0	6.0	5.0							Unknown
htL4UZ344nF	5.0	3.0	8.0	8.0						Unknown
fQejLClfsw	3.0	5.0	6.0	5.0						Unknown
me09xlTmm8	6.0	5.0	6.0	6.0						Unknown
b5M2oNm3nA	5.0	3.0	6.0	5.0						Unknown
8foynpwwRb	8.0	5.0	3.0	5.0						Unknown
GX0uI5T8kd	5.0	5.0	3.0	6.0						Unknown
UPwzqPOs4-	6.0	1.0	1.0	1.0						Unknown
1BEoYnjZVV	3.0	1.0	3.0							Unknown
4F1gvduDeL	8.0	6.0	8.0							Unknown
fyD8adDrXo	5.0	5.0	6.0							Unknown
Y1J29OryQg	5.0	6.0	3.0							Unknown
ywAjQw-spmY	5.0	3.0	3.0	5.0						Unknown
CcXTudu9bvu	3.0	3.0	6.0	6.0						Unknown
rwetAifrs16	5.0	6.0	5.0	3.0						Unknown
wRdGz0ZWYHF	3.0	5.0	6.0							Unknown
MW0hjtzYRkW	5.0	3.0	3.0	3.0						Unknown
HqVp0rNC8jn	8.0	6.0	5.0	3.0						Unknown
7bcrAxy00Jw	1.0	3.0	3.0							Unknown
m3DmIL7wHDW	3.0	3.0	5.0	6.0						Unknown
x-mXzBgCX3a	6.0	8.0	6.0	3.0						Unknown
F8OUxtWEQRi	3.0	8.0	6.0	3.0						Unknown
rer10Bb-9Qn	5.0	5.0	3.0	3.0						Unknown
-UsbRlXzMG	3.0	3.0	3.0	5.0						Unknown
Wac06sAkHk	3.0	5.0	3.0	3.0						Unknown
18XzeuYZh_	6.0	8.0	3.0	5.0						Unknown
j8s-BRxXST	3.0	5.0	3.0	5.0						Unknown
L6CKiPH3hI	6.0	5.0	3.0							Unknown
FEAIArDldTA	3.0	3.0	6.0	8.0						Unknown
lKXcMB9tOFD	3.0	1.0	3.0	1.0						Unknown
47DzlkyH3dM	5.0	6.0	3.0							Unknown
mN43JdXmYMs	3.0	5.0	5.0	3.0						Unknown
r3-aLHxn2nB	3.0	3.0	3.0	5.0	8.0					Unknown
dpuAkczrTOt	5.0	6.0	3.0	8.0						Unknown
w47MhmAsbzs	5.0	3.0	5.0							Unknown
diOVflNRZnG	1.0	1.0	1.0							Unknown
70-hEqC4Wo8	3.0	5.0	6.0	3.0	3.0					Unknown
-hMNEMgT8Wd	3.0	5.0	5.0	3.0						Unknown
TN9gQ4x0Ep3	8.0	8.0	3.0	6.0						Unknown
05ff9BRSMzE	3.0	3.0	3.0	6.0						Unknown
688hNNMigVX	8.0	8.0	8.0							Unknown
pcBJT4bgbpH	5.0	3.0	3.0	3.0						Unknown
ngV1BPp6xDc	5.0	3.0	5.0	5.0						Unknown
bjPPypbLre	6.0	8.0	5.0							Unknown
75O7S_L4oY	6.0	8.0	6.0	8.0						Unknown
WP0zFLrO01	3.0	1.0	3.0	6.0						Unknown
pvgEL1yS3Ql	6.0	8.0	5.0	5.0						Unknown
8zsK9lbna9L	3.0	6.0	6.0	5.0						Unknown
kqHkCVS7wbj	5.0	6.0	6.0							Unknown
gvOSQjGTtxj	3.0	6.0	5.0							Unknown
Z2oC6xxaWPL	5.0	5.0	6.0	5.0						Unknown
mnVf1W6ipGm	5.0	6.0	5.0							Unknown
Lgp4Y2Tor34	3.0	6.0	3.0	5.0						Unknown
LNpMtk15AS4	6.0	5.0	6.0	8.0						Unknown
BdcfKgE9dhF	6.0	6.0	5.0	6.0						Unknown
i8AnfJYMvz	6.0	3.0	3.0	8.0						Unknown
SEcSahl0Ql	5.0	5.0	6.0	6.0						Unknown
dyifcA9UuRo	6.0	8.0	5.0	5.0	5.0					Unknown
UazgYBMS9-W	3.0	6.0	6.0							Unknown
3c13LptpIph	3.0	5.0	6.0	3.0	5.0					Unknown
j7MnZOwaQ__	5.0	5.0	5.0	5.0						Unknown
eZN8nUXAVO7	3.0	5.0	6.0							Unknown
xfqDe72zh41	8.0	6.0	3.0							Unknown
KL6i1IdwQ6z	5.0	8.0	5.0							Unknown
ueEMZjY9WiM	8.0	3.0	3.0	6.0						Unknown
l6CpxixmUg	6.0	6.0	8.0							Unknown
ashgrQnYsm	5.0	5.0	6.0	8.0	3.0					Unknown
d5U-bPKPde	5.0	3.0	3.0	3.0						Unknown
oL2uVCVlyf	5.0	5.0	6.0	3.0						Unknown
j1HyTEWHTT	6.0	6.0	6.0	5.0						Unknown
jevY-DtiZTR	5.0	6.0	8.0	6.0						Unknown
5T80c_5NSbV	5.0	6.0	6.0							Unknown
hZ2H2Ps5dp6	3.0	3.0	5.0	3.0						Unknown
dXmWWc7GHVU	1.0	5.0	5.0	8.0						Unknown
KNSRDB-clPX	3.0	3.0	3.0	3.0						Unknown
FLr9RRqbwB-	3.0	5.0	5.0	5.0						Unknown
dC31wEs-hsV	1.0	3.0	5.0	3.0						Unknown
tcHwiu6CJ_B	5.0	5.0	5.0	5.0						Unknown
oiwXWPDTyNk	8.0	8.0	8.0	6.0						Unknown
_q7A0m3vXH0	5.0	5.0	6.0							Unknown
FmpRQpQLs5J	3.0	6.0	1.0	5.0						Unknown
P63GxgD7LIl	5.0	6.0	6.0	3.0						Unknown
OhjGzRE5N6o	8.0	3.0	3.0	3.0						Unknown
IlkQffBxiC7	3.0	6.0	3.0							Unknown
9Y0P3YoERSy	3.0	1.0	1.0							Unknown
HlRfoQDDj-V	5.0	3.0	5.0	3.0						Unknown
VBTJqqWjxMv	8.0	5.0	8.0							Unknown
yBOlJNIX0jN	1.0	3.0	3.0	3.0						Unknown
iEE0MadUaZh	1.0	3.0	6.0	5.0						Unknown
dqZ_GFn7Nuh	6.0	5.0	1.0							Unknown
krcFYSfcbhx	3.0	5.0	5.0	6.0						Unknown
vNrmEgfGIg3										Unknown
n1bLgxHW6jW	6.0	8.0	5.0							Unknown
6apN9AQ-3fN	5.0	3.0	3.0	3.0						Unknown
9pA3oXBwYh7	3.0	6.0	3.0	1.0						Unknown
5iibKv7Wk8W	3.0	5.0	1.0	3.0						Unknown
6s5HaPx6ndR	5.0	6.0	5.0	3.0	6.0					Unknown
T6NIgvKRb7b	6.0	6.0	5.0	3.0						Unknown
6BHlZgyPOZY	6.0	8.0	6.0	3.0						Unknown
FhYkgzYNMQ7	3.0	5.0	3.0	5.0						Unknown
FzKeidp3qnB	3.0	5.0	5.0	3.0						Unknown
mNk7mgWZcJa	3.0	3.0	3.0							Unknown
_JScUk9TBUn	6.0	6.0	6.0	5.0	8.0					Unknown
uV1A7jemwS8	3.0	3.0	3.0							Unknown
-SBZ8c356Oc	6.0	8.0	5.0	3.0						Unknown
xOPd5QO_5RT	3.0	3.0	3.0	10.0	1.0					Unknown
Opcegzztjay	3.0	8.0	6.0							Unknown
_i0-12XqVJZ	5.0	5.0	5.0							Unknown
PfPrnKDtvIG	5.0	6.0	3.0	5.0						Unknown
YPKBIILy-Kt	6.0	3.0	6.0							Unknown
Gkbxt7ThQxU	3.0	6.0	3.0							Unknown
9gRIOMVLCiH	5.0	6.0	8.0	3.0						Unknown
by_KjUv-7YC	3.0	5.0	3.0	3.0						Unknown
WHlt5tLz12T	8.0	5.0	8.0							Unknown
JmC_Tld3v-f	6.0	5.0	5.0	6.0						Unknown
CBfYffLqWqb	5.0	5.0	6.0							Unknown
aMbzoO5go4r	5.0	3.0	5.0	3.0						Unknown
JpbLyEI5EwW	8.0	3.0	6.0	10.0						Unknown
MIy9IfYlecR	3.0	3.0	3.0	3.0						Unknown
FkRMv-mlSTy	5.0	5.0	6.0	3.0						Unknown
FHZUqgxIBYn	3.0	3.0	3.0	5.0						Unknown
odI2OpMFq-D	3.0	3.0	3.0	3.0						Unknown
rmoMvptXK7M	8.0	5.0	5.0	5.0						Unknown
pRCMXcfdihq	6.0	3.0	6.0	6.0						Unknown
bnkvnbGEXnc	5.0	5.0	3.0	5.0						Unknown
qSCHRL8b96S	3.0	5.0	5.0							Unknown
5YHaMHg2Bfa	8.0	5.0	3.0	6.0	6.0	6.0	5.0			Unknown
TZixgYj-oqI	6.0	5.0	3.0	6.0						Unknown
z0_V5O9cmNw	6.0	5.0	6.0	8.0						Unknown
-4DiyBMgv9m	3.0	3.0	6.0	6.0	1.0					Unknown
cB4N3G5udUS	5.0	10.0	3.0							Unknown
NI7StoWHJPT	5.0	3.0	5.0							Unknown
2jcvy1htS_r	3.0	5.0	6.0	6.0						Unknown
p48GR3rwtxf	3.0	3.0	3.0	3.0						Unknown
-94tJCOo7OM	3.0	1.0	3.0							Unknown
l2vPa8gwBuA	5.0	6.0	6.0	6.0						Unknown
GGItImF9oG5	5.0	6.0	3.0	5.0						Unknown
O5rKg7IRQIO	8.0	5.0	3.0	8.0						Unknown
UxqUgchwXkK	8.0	8.0	8.0							Unknown
jZfksUBb3Zz	5.0	1.0	3.0	3.0						Unknown
w48XN5HwpV8	5.0	6.0	3.0	6.0						Unknown
UHPva3PuKLN	5.0	5.0	1.0	3.0						Unknown
yKbprarjc5B	5.0	5.0	5.0	8.0						Unknown
No6QvMxdQMo	3.0	5.0	5.0							Unknown
-zw8zmeIt7M	3.0	5.0	8.0	5.0						Unknown
M2unceRvqhh	6.0	6.0	8.0	8.0						Unknown
7oFuxtJtUMH	8.0	8.0	5.0	6.0						Unknown
eCIVFDVxvAx	3.0	3.0	5.0	5.0						Unknown
mcJvCys7DX7	5.0	5.0	5.0	5.0						Unknown
h9O0wsmL-cT	6.0	8.0	6.0	1.0						Unknown
fGG6vHp3W9W	8.0	5.0	5.0							Unknown
BLsM6WymMo6	3.0	3.0	3.0	5.0						Unknown
paGvsrl4Ntr	6.0	5.0	6.0	6.0						Unknown
Rn8u4MYgeNJ	8.0	5.0	5.0	5.0						Unknown
3i_7H3phuy3	5.0	3.0	6.0	3.0	3.0					Unknown
4bCsX2K0KuR	6.0	3.0	6.0							Unknown
wZiE_S2362V	8.0	3.0	3.0	5.0						Unknown
jYv81Ai6ztO	5.0	5.0	5.0	6.0						Unknown
lmumJ2pC0JB	5.0	8.0	5.0	5.0						Unknown
tyZ1ChGZIKO	5.0	5.0	8.0	8.0						Unknown
3TduOwfFNoy	5.0	6.0	5.0	3.0						Unknown
bxtzk6Wfrpo	1.0	5.0	3.0	5.0						Unknown
067CGykiZTS	8.0	8.0	8.0							Unknown
afrUI9hkUJM	3.0	3.0	3.0							Unknown
Tl8OmiibP99	5.0	6.0	5.0	6.0						Unknown
HtAfbHa7LAL	5.0	5.0	5.0							Unknown
MT1Pcdo8sGG	3.0	10.0	8.0							Unknown
u6KhE9fapjX	5.0	3.0	3.0	5.0						Unknown
KyoVpYvWWnK	6.0	5.0	8.0	6.0						Unknown
d8mr8lKIZ3n	5.0	8.0	3.0	8.0						Unknown
Vf2DK1Ol0ed	3.0	3.0	3.0	5.0						Unknown
6ruVLB727MC	6.0	8.0	3.0	8.0						Unknown
GKsNIC_mQRG	3.0	1.0	3.0	1.0						Unknown
SVl1w1u3InX	6.0	6.0	5.0							Unknown
zfiYcbeQkH	3.0	8.0	6.0							Unknown
raSbs1AFoX3	5.0	5.0	6.0	1.0						Unknown
xKYlWJaLFi	6.0	3.0	5.0							Unknown
vJVIUTwohv	5.0	5.0	5.0	5.0						Unknown
2QzNuaRHn4Z	5.0	8.0	6.0	6.0						Unknown
IC8LwiOLKFr	6.0	3.0	5.0							Unknown
8Tr3v4ueNd7	6.0	3.0	3.0	5.0						Unknown
swEskiem99	6.0	8.0	5.0	5.0						Unknown
JZMR727O29	8.0	5.0	5.0	3.0						Unknown
rpWw6Ki2b5s	5.0	3.0	3.0	5.0						Unknown
Pk_di2bPAop	5.0	5.0	3.0	5.0						Unknown
kIo_C6QmMOM	6.0	6.0	6.0							Unknown
JKFSUPa70W6M	3.0	5.0	3.0	3.0						Unknown
4oLK1_k71Tz	5.0	3.0	8.0							Unknown
whsWWPAUkwR	6.0	5.0	6.0	5.0						Unknown
aNiem36virV	5.0	5.0	5.0	5.0						Unknown
b39dQt_uffW	5.0	6.0	6.0	6.0						Unknown
ja4Lpp5mqc2	3.0	6.0	5.0	6.0						Unknown
ytNEuwH1yeL	5.0	5.0	3.0							Unknown
dKkMnCWfVmm	8.0	5.0	8.0	5.0						Unknown
zqkfJA6R1-r	6.0	6.0	10.0							Unknown
0aAd19ZQp11	6.0	3.0	5.0							Unknown
9_cba-ImPGb	3.0	6.0	5.0	6.0						Unknown
IIyox3dwad0	5.0	6.0	6.0	3.0						Unknown
P9yXPbfqbvC	3.0	3.0	3.0	3.0						Unknown
osIppnySBTV	3.0	5.0	3.0	5.0						Unknown
6H_uOfcwiVh	6.0	8.0	8.0	5.0						Unknown
wKPmPBHSnT6	8.0	5.0	6.0							Unknown
JknGeelZJpHP	5.0	5.0	8.0	5.0						Unknown
Ji1_32XWMxK	6.0	3.0	3.0	6.0						Unknown
Xo2E217_M4n	8.0	6.0	8.0	3.0						Unknown
u8IcZZORLuq	3.0	5.0	3.0							Unknown
j8Ygylt1DYJ	1.0	5.0	3.0	3.0	3.0					Unknown
ByaNEZdnx2O	5.0	3.0	3.0	3.0						Unknown
5c_nxk-dX1J	5.0	5.0	6.0	5.0						Unknown
kXwdL1cWOAi	6.0	5.0	3.0	6.0						Unknown
Krk0Gnft2Zc	5.0	3.0	8.0	3.0						Unknown
wR08RrAsLz5	5.0	5.0	5.0	8.0						Unknown
V8isglQkt74	5.0	6.0	5.0	5.0						Unknown
rqq6Dh8t4d	5.0	6.0	3.0	6.0						Unknown
J923QzIz8Sh	5.0	5.0	3.0							Unknown
OPGy07PojsZ	3.0	6.0	6.0	8.0						Unknown
NAuVe6pQ7Jb	3.0	6.0	3.0							Unknown
zaq4LV55xHl	5.0	6.0	6.0	3.0						Unknown
LoOd40EaGA8	3.0	5.0	6.0	3.0						Unknown
uR6x8Be7o_M	3.0	6.0	3.0	3.0						Unknown
6lUEy1J5R7p	6.0	8.0	3.0	6.0						Unknown
CTX5JcDaUX9	3.0	8.0	5.0							Unknown
3ULaIHxn9u7	8.0	3.0	6.0							Unknown
uzwakrSKHyT	3.0	5.0	3.0	5.0						Unknown
AuEgNlEAmed	5.0	5.0	6.0	6.0						Unknown
pBBsrPzq7aF	6.0	8.0	8.0							Unknown
rnFOPhTMB0Y	6.0	3.0	5.0	3.0						Unknown
C2ulri4duIs	6.0	3.0	6.0	8.0						Unknown
kpXJYIoMlho	5.0	5.0	3.0	5.0						Unknown
DaYt6DAA-JK	5.0	6.0	5.0	3.0						Unknown
7zv_wSgP-LN	3.0	6.0	5.0	5.0						Unknown
wkg_b4-IwTZ	5.0	5.0	10.0	8.0						Unknown
esFxSb_0pSL	5.0	5.0	5.0	8.0						Unknown
WzGdBqcBicl	6.0	6.0	8.0	5.0	8.0	5.0	6.0			Unknown
yd5kGP5_VVE	3.0	3.0	3.0	6.0						Unknown
qVI1MqX52Xm	5.0	5.0	5.0							Unknown
TGJSPbRpJX-	6.0	8.0	6.0	8.0						Unknown
CUOhDJGy3Mn	5.0	3.0	3.0	3.0						Unknown
_QkHfB07QMN	3.0	8.0	6.0	5.0						Unknown
6t0Kwf8-jrj	5.0	6.0	5.0							Unknown
ZPHE4fht19t	6.0	8.0	6.0	5.0						Unknown
PUIqjT4rzq7	3.0	6.0	6.0	5.0						Unknown
_lPNXhQ4uvS	3.0	3.0	3.0	3.0	3.0					Unknown
TVMjn0RpLHf	6.0	6.0	3.0	3.0						Unknown
YlmzborbHTy	5.0	5.0	6.0							Unknown
wNnaozRwl5O	5.0	3.0	5.0	3.0	3.0					Unknown
ipflrGaf7ry	5.0	6.0	6.0	6.0						Unknown
q9Tv6sR3jp2	3.0	3.0	5.0	3.0						Unknown
NBES8BZ5wnZ	6.0	6.0	3.0	6.0						Unknown
NE2911Kq1sp	6.0	6.0	8.0	5.0						Unknown
UYsYdOn-A7e	3.0	3.0	1.0	5.0						Unknown
WFewvIEb0aT	6.0	5.0	8.0	5.0	5.0					Unknown
cBNfRYPtvFY	5.0	6.0	3.0	6.0						Unknown
vxln_lFKkfc	3.0	5.0	6.0							Unknown
CwFcw5DBVOR	3.0	5.0	3.0							Unknown
_xlsjehDvlY	6.0	6.0	5.0	6.0						Unknown
qHcR93949op										Unknown
q_PkAzGFrmq	3.0	6.0	5.0	5.0						Unknown
rde9B5ue32F	8.0	3.0	6.0	6.0						Unknown
hcLpFslHraT	6.0	5.0	6.0	5.0						Unknown
NZZoABNZECq	6.0	6.0	6.0	6.0						Unknown
z-lQRTEOpxV	3.0	1.0	3.0	3.0						Unknown
WVYJ0BaytpF	3.0	3.0	6.0	1.0						Unknown
uARGOm09Vnr	3.0	3.0	5.0							Unknown
jczReTpeJ0N	5.0	1.0	3.0	3.0						Unknown
eiuj6cNv4iI	6.0	8.0	6.0	3.0						Unknown
ZVnH2suWKRu										Unknown
B2ww5cqWq14	5.0	3.0	1.0							Unknown
ukWZS73ccwk	5.0	3.0	5.0							Unknown
0pdSt3oyJa1	5.0	5.0	6.0	5.0						Unknown
MuoduaZpQxE	5.0	6.0	5.0	5.0						Unknown
5H9_FUPA9r8	6.0	5.0	5.0	5.0						Unknown
22Hsbl8twlY	3.0	6.0	3.0	6.0						Unknown
hdkdCk6xm48	5.0	3.0	6.0	6.0						Unknown
qFVVBzXxR2V	6.0	5.0	5.0	5.0	8.0					Unknown
uOAerdjbEZy	5.0	5.0	5.0	3.0						Unknown
T-DKAYt6BMk										Unknown
CAsH4Z_Xzj7	5.0	8.0	3.0							Unknown
5C5ZcWvtI7S	5.0	3.0	6.0	3.0						Unknown
q_tgo-hvgPd	5.0	5.0	3.0							Unknown
HumfPzF2yeI	5.0	5.0	5.0							Unknown
ZADNbI_3sbS	6.0	6.0	5.0	6.0						Unknown
OxBl7cSgo6_	6.0	6.0	3.0	8.0						Unknown
vbRRydfyFc	8.0	5.0	6.0	5.0						Unknown
5lgD4vU-l24s	10.0	5.0	3.0	6.0						Unknown
JjCAdMUlu9v	3.0	5.0	6.0	6.0						Unknown
wIzVS-RJjCB	6.0	3.0	3.0	3.0						Unknown
8RExG-EKC22	6.0	3.0	3.0	6.0	6.0					Unknown
WGApODQvwRg	3.0	6.0	6.0	5.0						Unknown
ynD_LAMwar2	6.0	3.0	3.0	6.0						Unknown
doShL95X0hd	5.0	1.0	5.0	3.0	3.0					Unknown
mWRngkvIki3	8.0	6.0	5.0							Unknown
ctmLBs8lITa	8.0	5.0	5.0	6.0						Unknown
xIWfWvKM7aQ	5.0	8.0	5.0	5.0						Unknown
14-kr46GvP-	8.0	6.0	6.0							Unknown
eZr_xEPesc7	5.0	5.0	5.0	5.0						Unknown
nGyWzq-703u	3.0	5.0	5.0	3.0						Unknown
bhUPJnS2g0X	6.0	6.0	6.0	6.0						Unknown
pRUW8BuTEFI	5.0	3.0	3.0	3.0						Unknown
PoU_NgCStE5	3.0	8.0	5.0	3.0						Unknown
vaxnu-Utr4l	8.0	8.0	6.0	8.0						Unknown
6jfbOWzWTcE	6.0	8.0	6.0	6.0						Unknown
PbXfwJEyKXT	5.0	5.0	5.0							Unknown
uFC0HBseZxK	3.0	3.0	6.0							Unknown
oGDKSt9JrZi	8.0	5.0	8.0	5.0						Unknown
RHWAEeEYmwW	6.0	6.0	5.0	5.0						Unknown
gTph9AD_gx1	5.0	3.0	6.0							Unknown
GKpwIa9wgwR	5.0	6.0	5.0							Unknown
dkLQ9dl4vcY	3.0	5.0	1.0	3.0						Unknown
I29Kt0RwChs	8.0	5.0	6.0	8.0						Unknown
7jk5gWjC18M	8.0	8.0	3.0	8.0						Unknown
cs3n00FQ7OI	3.0	3.0	6.0	3.0						Unknown
d1oQqDvB7GQ	6.0	5.0	5.0							Unknown
YKoRmMhcpWk	3.0	5.0	6.0	5.0						Unknown
2rzFscFzJ0B	3.0	3.0	3.0	5.0						Unknown
eLxADkHrBcR	5.0	1.0	5.0	8.0						Unknown
Kot3IIgXGbb	5.0	6.0	6.0							Unknown
4gc3MGZra1d	5.0	1.0	8.0	6.0						Unknown
Lb8ZnWW_In6	3.0	3.0	3.0							Unknown
rieUBLynDqm	5.0	5.0	6.0	6.0						Unknown
cP2QVK-uygd	5.0	6.0	8.0							Unknown
fWWFv--P0xP	8.0	5.0	8.0	5.0						Unknown
VZ5EaTI6dqa	5.0	6.0	5.0	6.0						Unknown
TjxCJ1DK-dm	5.0	5.0	3.0	3.0						Unknown
yVqC6gCNf4d	5.0	8.0	6.0	8.0						Unknown
afhc1a2x00V	3.0	1.0	3.0	6.0						Unknown
XFWLkEcLqDf	3.0	3.0	5.0	3.0						Unknown
29V3AWjVAFi	5.0	8.0	6.0	5.0						Unknown
nN_nBVKAhhD	6.0	5.0	6.0	6.0						Unknown
JmkjrlVE-DG	6.0	8.0	5.0	5.0						Unknown
0eTTKOOOQkV	6.0	6.0	5.0	6.0						Unknown
p6jsTidUkPx	6.0	6.0	5.0	6.0						Unknown
4UbhxQIjeSH	3.0	3.0	5.0	3.0						Unknown
qYO0f9WnUup	6.0	1.0	8.0							Unknown
3yEIFSMwKBC	5.0	3.0	5.0							Unknown
MHgYMtHpKsC	5.0	5.0	6.0							Unknown
Hcq7zGgcsOg	3.0	5.0	5.0	5.0	6.0					Unknown
sqPEs1wEizU	5.0	3.0	5.0	3.0						Unknown
SZYXyhE2c6f	6.0	5.0	3.0	3.0						Unknown
XYUaprBSDjp	3.0	5.0	5.0	3.0	3.0					Unknown
CQsmMYmlP5T	8.0	8.0	10.0							Unknown
YlGsTZODyjz	6.0	8.0	6.0							Unknown
LQIjzPdDt3q	8.0	5.0	8.0							Unknown
36g8Ept_CCj	6.0	5.0	5.0							Unknown
GVWySHBD3Cl	5.0	3.0	3.0							Unknown
B4maZQLLW0_	6.0	3.0	5.0	6.0						Unknown
GVMwL15UrZO	5.0	3.0	5.0	5.0						Unknown
NxPQ3QOGTWl	5.0	5.0	6.0	5.0	6.0					Unknown
AqiB_Tqqc8z	5.0	5.0	3.0							Unknown
NDWl9qcUpvy	5.0	5.0	8.0	8.0						Unknown
GBU1mm8_WkV	3.0	6.0	3.0	6.0						Unknown
WBXbRs63oVu	6.0	3.0	6.0							Unknown
ewYNygoJpa6	1.0	1.0	3.0	1.0						Unknown
ZBMpG7fWwOP	8.0	6.0	3.0	5.0						Unknown
BKuboEUJd8u	6.0	5.0	6.0	6.0						Unknown
-3br92QL76O	3.0	3.0	6.0							Unknown
6doXHqwMayf	8.0	8.0	5.0	3.0	8.0					Unknown
4hhtHQLGDQO	3.0	6.0	5.0	3.0						Unknown
aKcS3xojnwY	8.0	6.0	8.0	8.0						Unknown
BgoOPulkznY	6.0	6.0	3.0	5.0						Unknown
Gy8vD-zGQqH	6.0	5.0	3.0	1.0						Unknown
8tYRqb05pVn	6.0	3.0	8.0	8.0						Unknown
z70d8UBFDKF	6.0	5.0	3.0	5.0	5.0					Unknown
sAOOeI878Ns	8.0	6.0	3.0	6.0						Unknown
